id,status,featured,sort_order,title,event_date,event_time,location,role,description,cta_label,cta_url,image_url,created_at,updated_at
evt-lehigh-valley-womens-summit-2026,Published,TRUE,10,Lehigh Valley Women's Summit 2026,2026-06-04,,Wind Creek Bethlehem PA,Keynote,Breakout session speaker at the 2026 Lehigh Valley Women's Summit.,,,/events/lehigh-valley-womens-summit.png,2026-05-15,2026-05-16
evt-henkels-mccoy-lunch-learn,Draft,FALSE,20,Henkels & McCoy — Unapologetic & Audacious Lunch & Learn,,11:00 am – 1:00 pm,Henkels & McCoy,Workshop,Unapologetic & Audacious: Women Leading Without Limits — keynote followed by fireside chat with Erika Rothenberger.,,,/events/henkels-mccoy-lunch-learn.png,2026-05-15,2026-05-16
