id,status,featured,sort_order,title,organization,year,summary,url,image_url,created_at,updated_at
rec-main-line-today-power-women-2024,Published,TRUE,10,Power Women 2024,Main Line Today Magazine,2024,Named one of Main Line Today Magazine's 2024 Power Women — celebrated October 23 2024.,,/recognition/main-line-today-power-women-social.jpg,2024-10-23,2026-05-16
rec-lock-haven-rebecca-gross-2019,Published,TRUE,30,Rebecca Gross Young Alumni Award,Lock Haven University,2019,Awarded the Rebecca Gross Young Alumni Award by Lock Haven University.,https://www.lockhaven.edu/News/Rebecca_Gross_05.20.2019.html,,2019-05-20,2026-05-16
