id,status,featured,sort_order,name,relationship,description,website_url,logo_url,created_at,updated_at
ptr-lehigh-valley-womens-summit,Published,TRUE,10,Lehigh Valley Women's Summit,2026 Breakout Session Speaker,,,/partners/lehigh-valley-womens-summit-logo.png,2026-05-16,2026-05-16
ptr-west-chester-university,Draft,FALSE,20,West Chester University,,,,/partners/west-chester-university-logo.png,2026-05-16,2026-05-16
