id,status,featured,sort_order,title,publication,summary,url,image_url,published_date,created_at,updated_at
press-main-line-media-news-2019,Published,TRUE,10,Society of Professional Women offers opportunities to grow professionally and personally,Main Line Media News,Feature on the Society of Professional Women and the programming Nicole built.,https://www.mainlinemedianews.com/2019/01/07/society-of-professional-women-offers-opportunities-to-grow-professionally-personally/,,2019-01-07,2019-01-07,2026-05-16
press-lock-haven-rebecca-gross-2019,Published,TRUE,30,Lock Haven University — Rebecca Gross Young Alumni Award,Lock Haven University,Lock Haven University announces Nicole as the recipient of the Rebecca Gross Young Alumni Award.,https://www.lockhaven.edu/News/Rebecca_Gross_05.20.2019.html,,2019-05-20,2019-05-20,2026-05-16
