id,status,featured,sort_order,title,category,alt,image_url,caption,created_at,updated_at
photo-headshot-blue,Published,TRUE,20,Studio headshot — blue top,Headshot,Studio headshot of Nicole Stephenson in a royal blue top arms folded smiling.,/photos/nicole-stephenson-headshot-blue.jpg,,2026-05-16,2026-05-16
photo-speaking-mic-1,Published,TRUE,70,On stage with a microphone,Speaking,Nicole Stephenson on stage speaking into a handheld microphone gesturing with her free hand.,/photos/nicole-stephenson-speaking-1.jpg,,2026-05-16,2026-05-16
